gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,total_sec_taken,is_correct
male,15931,2,4,tc,1,0,0,4,0,46.61538461538461,1
no_value,2631,0,4,tc,0,0,0,0,0,21.705882352941178,1
female,78900,18,4,tc,1,0,0,4,0,70.35779816513761,1
female,598356,25,4,ty,1,0,0,1,1,26.526106018334,1
no_value,3691,0,4,tc,0,0,0,0,0,40.66666666666666,1
no_value,8175,3,4,tp,0,0,0,0,0,21.4,1
female,137608,27,4,tc,1,0,0,1,0,31.40986717267552,1
no_value,7800,0,4,tp,0,0,0,0,0,79.93478260869566,1
no_value,79457,14,4,tc,0,0,0,0,1,26.642126789366053,1
no_value,7578,1,5,tc,0,0,0,0,0,67.0,0
female,78371,22,5,tc,1,0,0,4,0,41.67811158798283,1
no_value,100865,10,5,cy,1,0,0,1,0,42.17254901960784,1
male,9150,1,5,kh,1,0,0,1,0,38.9,1
male,88915,16,5,tc,1,0,0,2,0,48.56431535269709,1
no_value,15579,4,5,ntpc,0,0,0,0,0,70.0952380952381,1
no_value,2175,0,5,hc,0,0,0,0,0,226.0,1
no_value,11325,3,5,phc,0,0,0,0,0,0.0,0
no_value,21060,1,5,ty,1,0,0,1,0,131.11267605633802,1
female,121808,33,5,ml,2,0,0,2,0,34.13299232736573,1
no_value,52462,10,5,ml,2,0,0,2,0,48.687179487179485,0
no_value,41380,5,5,chc,1,0,0,1,0,57.516447368421055,1
no_value,10575,1,5,ty,1,0,0,1,0,57.52941176470589,1
no_value,5278,0,5,ntpc,0,0,0,0,0,42.66666666666666,1
male,175050,18,6,tc,1,0,0,1,0,67.86872586872587,1
female,24287,4,6,tp,0,0,0,0,0,57.45871559633027,1
no_value,30000,4,6,tp,0,0,0,0,0,31.71929824561404,1
no_value,4567,0,6,ty,1,0,0,1,0,95.8076923076923,1
no_value,219428,62,6,ml,2,0,0,2,0,31.33838383838384,1
male,190655,19,6,tc,1,0,0,1,0,56.889676910953504,1
no_value,8928,1,6,tp,1,0,0,1,0,40.0,1
female,296281,50,6,ml,1,0,0,1,0,44.620342396777446,1
male,15366,9,6,kh,1,0,0,0,0,26.152941176470588,0
